product_id,product_category_english,product_category_portuguese,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_photos_qty,product_description_length,product_name_length,product_volume_cm3,product_size_tier,product_weight_tier,missing_photos_flag,missing_description_flag
8ba4f2a4ae695d26e5626c1bf710975e,housewares,utilidades domesticas,900.00,50.00,5.00,50.00,1,968,52,12500.00,Medium,Medium,0,0
f6574524b07d5bb753bab6f35abe2d06,luggage accessories,malas acessorios,3600.00,35.00,25.00,50.00,5,573,52,43750.00,Large,Heavy,0,0
c78b767da00efb70c1bcccab87c28cd5,computers accessories,informatica acessorios,300.00,42.00,2.00,30.00,2,1101,35,2520.00,Small,Medium,0,0
a0253d43394dd4da9a5d7b1f546f1a32,computers accessories,informatica acessorios,740.00,23.00,13.00,13.00,2,1890,59,3887.00,Small,Medium,0,0
051b9ff13dd55c0a6655a15ff296f80d,sports leisure,esporte lazer,3600.00,62.00,23.00,23.00,2,529,50,32798.00,Large,Heavy,0,0
47859fca9dd7485cbd93c3e8993bb74f,bed bath table,cama mesa banho,650.00,16.00,10.00,16.00,1,206,45,2560.00,Small,Medium,0,0
e1d1d22e9f8122a4ec1533b032c12562,garden tools,ferramentas jardim,2150.00,70.00,8.00,34.00,9,1163,49,19040.00,Large,Heavy,0,0
20e37962088a4061d3578def47a8648b,furniture decor,moveis decoracao,800.00,40.00,10.00,34.00,1,208,60,13600.00,Medium,Medium,0,0
1eba879220bd0981a0e2fbab499ed4e1,office furniture,moveis escritorio,8950.00,52.00,51.00,17.00,1,476,57,45084.00,Large,Very Heavy,0,0
ce5b91848b91118daffb3af53b747475,sports leisure,esporte lazer,1388.00,34.00,9.00,31.00,4,699,50,9486.00,Medium,Heavy,0,0
5370b82a213393979691c98074265584,baby,bebes,7950.00,33.00,30.00,44.00,9,708,52,43560.00,Large,Very Heavy,0,0
b8dac5113b06a97e64943234522572b9,auto,automotivo,6000.00,87.00,3.00,42.00,2,1062,43,10962.00,Medium,Very Heavy,0,0
750cf819d127191920eda79a4b6fb479,electronics,eletronicos,263.00,18.00,12.00,16.00,1,806,31,3456.00,Small,Medium,0,0
e6af694343b45b56304ad91974a110b9,housewares,utilidades domesticas,3900.00,19.00,20.00,15.00,1,352,37,5700.00,Medium,Heavy,0,0
680874c570dad71c0a2844cfbf417054,furniture decor,moveis decoracao,600.00,25.00,25.00,25.00,1,502,47,15625.00,Large,Medium,0,0
8b3a9476f74f5297f7ff0ec6d95fe1ea,furniture decor,moveis decoracao,2050.00,49.00,13.00,41.00,2,254,63,26117.00,Large,Heavy,0,0
1c6fb703c624b381a20f21f757694866,toys,brinquedos,725.00,22.00,17.00,15.00,2,471,33,5610.00,Medium,Medium,0,0
db46052aed7dff59ba38cf2fe29b87f9,bed bath table,cama mesa banho,6350.00,45.00,15.00,35.00,4,509,56,23625.00,Large,Very Heavy,0,0
b864b103180d5a6a3f830e67f93e8735,baby,bebes,600.00,70.00,11.00,11.00,4,980,47,8470.00,Medium,Medium,0,0
7a8dac4aaa16bc642e4df33adcf03303,cool stuff,cool stuff,11750.00,18.00,40.00,79.00,2,1701,38,56880.00,Extra Large,Very Heavy,0,0
83b9bc6aae6f527ff6aafb9e01d6cbf3,toys,brinquedos,2550.00,22.00,32.00,38.00,3,866,20,26752.00,Large,Heavy,0,0
5f504b3a1c75b73d6151be81eb05bdc9,cool stuff,cool stuff,15350.00,47.00,40.00,47.00,3,1176,38,88360.00,Extra Large,Very Heavy,0,0
bbf920aa6ac72007a726e6f419156f8f,furniture decor,moveis decoracao,1300.00,25.00,16.00,25.00,2,303,42,10000.00,Medium,Heavy,0,0
c3b7e4d83e530c27a8e6368296aece48,furniture decor,moveis decoracao,850.00,69.00,11.00,11.00,2,1972,60,8349.00,Medium,Medium,0,0
c5d8079278e912d7e3b6beb48ecb56e8,health beauty,beleza saude,1300.00,19.00,28.00,17.00,1,330,60,9044.00,Medium,Heavy,0,0
5eaa343860dc445b3fd43d1b682809fd,sports leisure,esporte lazer,4800.00,60.00,30.00,15.00,5,3218,53,27000.00,Large,Heavy,0,0
b5cfb1d3c5e435a7a52227e08f220ee7,cool stuff,cool stuff,1300.00,36.00,16.00,24.00,2,410,55,13824.00,Medium,Heavy,0,0
334479e94cba98064050db1c9636e244,auto,automotivo,220.00,18.00,14.00,17.00,1,311,57,4284.00,Small,Medium,0,0
3fcd8dfe610c62edfb51de2630cd9ef4,baby,bebes,5700.00,41.00,17.00,49.00,4,509,50,34153.00,Large,Very Heavy,0,0
4c8056caed5757810b9a68b83c3759e6,luggage accessories,malas acessorios,450.00,20.00,40.00,30.00,2,1291,53,24000.00,Large,Medium,0,0
30e77af9e7759bbaa0305d2fbc605dc4,fashion shoes,fashion calcados,2000.00,32.00,12.00,37.00,2,402,60,14208.00,Medium,Heavy,0,0
92bf5d2084dfbcb57d9db7838bac5cd0,telephony,telefonia,100.00,19.00,3.00,11.00,2,427,51,627.00,Extra Small,Light,0,0
fdeb34a9f03fea7c3937dd62d1d0287e,cool stuff,cool stuff,1100.00,30.00,20.00,23.00,1,1252,58,13800.00,Medium,Heavy,0,0
1065dbb6b0bf03daaedab1236979e296,stationery,papelaria,1400.00,38.00,40.00,39.00,3,488,49,59280.00,Extra Large,Heavy,0,0
0d826eba8e0a2ae3bca9e3a947dd756d,toys,brinquedos,250.00,20.00,14.00,12.00,4,423,50,3360.00,Small,Medium,0,0
f8f6fd145cc00519283cf3100477b2b3,sports leisure,esporte lazer,1050.00,25.00,20.00,14.00,1,956,47,7000.00,Medium,Heavy,0,0
4e04ffb7dd3739ecfc37de8927dd586c,stationery,papelaria,500.00,24.00,7.00,16.00,1,144,59,2688.00,Small,Medium,0,0
36555a2f528d7b2a255c504191445d39,health beauty,beleza saude,1467.00,23.00,16.00,20.00,1,1069,51,7360.00,Medium,Heavy,0,0
22937a73f92a33040ab4e2540355a5d8,fashion bags accessories,fashion bolsas e acessorios,100.00,16.00,5.00,11.00,3,554,50,880.00,Extra Small,Light,0,0
dc21247da0290904ffbbcd5953c76f95,stationery,papelaria,100.00,16.00,5.00,16.00,1,92,41,1280.00,Small,Light,0,0
9020ce7adcc384b2899ae87ddc54767b,stationery,papelaria,300.00,23.00,7.00,15.00,2,198,43,2415.00,Small,Medium,0,0
bfc1d1c62b1f7f401d8d9dda962bb870,sports leisure,esporte lazer,950.00,60.00,15.00,15.00,2,255,50,13500.00,Medium,Medium,0,0
6fef6d87bb6c2eb11d57a967209219a8,garden tools,ferramentas jardim,250.00,17.00,3.00,11.00,1,200,33,561.00,Extra Small,Medium,0,0
1e5428c428e0f783acd6e3d94ba4ee2a,computers,pcs,12000.00,27.00,50.00,53.00,1,1067,55,71550.00,Extra Large,Very Heavy,0,0
94080f9219044d897195e2be145945dc,auto,automotivo,921.00,17.00,9.00,16.00,6,1543,60,2448.00,Small,Medium,0,0
d0389f20b3d11de54e1e4561df147683,home construction,casa construcao,10000.00,60.00,25.00,25.00,1,1441,55,37500.00,Large,Very Heavy,0,0
3e9b58f1436820c248d3f98d7229bb14,watches gifts,relogios presentes,250.00,16.00,11.00,11.00,2,489,56,1936.00,Small,Medium,0,0
575c38b4c88fc7b35ef22fc8312bfe1b,cool stuff,cool stuff,1200.00,44.00,20.00,20.00,3,992,57,17600.00,Large,Heavy,0,0
556702ebb73d3786a852ad3d5a8ad268,construction tools construction,construcao ferramentas construcao,4800.00,25.00,8.00,25.00,1,339,54,5000.00,Medium,Heavy,0,0
a3a03c131926ec14d4c9f3ef03016b24,pet shop,pet shop,700.00,40.00,20.00,20.00,1,463,54,16000.00,Large,Medium,0,0
e586ebb6022265ae1eea38f46ffe3ead,health beauty,beleza saude,1050.00,18.00,21.00,27.00,3,1469,40,10206.00,Medium,Heavy,0,0
278b3c6462e86b4556b99989513ddf73,small appliances,eletroportateis,350.00,20.00,20.00,20.00,3,587,58,8000.00,Medium,Medium,0,0
0d009643171aee696f4733340bc2fdd0,perfumery,perfumaria,422.00,21.00,16.00,18.00,1,150,52,6048.00,Medium,Medium,0,0
be1be330cf34043d1c40d6114cbd11b5,watches gifts,relogios presentes,317.00,19.00,13.00,16.00,1,484,51,3952.00,Small,Medium,0,0
07f01b6fcacc1b187a71e5074199db2d,agro industry and commerce,agro industria e comercio,16400.00,63.00,66.00,56.00,1,430,39,232848.00,Extra Large,Very Heavy,0,0
75b4372e69a42f8ae1d908c076f547b2,health beauty,beleza saude,938.00,29.00,22.00,23.00,1,1313,22,14674.00,Medium,Medium,0,0
3569d4374a919941a50f57371b1dc93d,health beauty,beleza saude,2700.00,21.00,16.00,31.00,1,1168,37,10416.00,Medium,Heavy,0,0
a3c95dc653d9a279b160bc0179385ed1,bed bath table,cama mesa banho,1750.00,30.00,18.00,30.00,1,1146,39,16200.00,Large,Heavy,0,0
0992c6cba95a13bfa68ea7d5e22d478b,garden tools,ferramentas jardim,3850.00,29.00,12.00,24.00,1,671,42,8352.00,Medium,Heavy,0,0
b1eae565a61935e0011ee7682fef9dc9,perfumery,perfumaria,267.00,17.00,13.00,17.00,2,460,49,3757.00,Small,Medium,0,0
2734390ee304b0f4817b3c233094fc16,musical instruments,instrumentos musicais,16200.00,55.00,40.00,40.00,3,2367,59,88000.00,Extra Large,Very Heavy,0,0
32ee3f4e2493045726807808d7abbab6,bed bath table,cama mesa banho,1400.00,38.00,9.00,27.00,2,381,54,9234.00,Medium,Heavy,0,0
c2367eda4f9623d0355dc5d7796d857a,bed bath table,cama mesa banho,6450.00,100.00,10.00,11.00,1,607,50,11000.00,Medium,Very Heavy,0,0
7f34b85142d1ef9e077a0da9ada27385,furniture decor,moveis decoracao,2300.00,105.00,3.00,70.00,3,1750,59,22050.00,Large,Heavy,0,0
c478b1bbf9ec8c5691f37ccb83187386,computers accessories,informatica acessorios,300.00,25.00,8.00,18.00,2,163,55,3600.00,Small,Medium,0,0
f9ecf420c38b90a8af8e7f70fd789264,sports leisure,esporte lazer,600.00,50.00,10.00,12.00,1,101,43,6000.00,Medium,Medium,0,0
3a6a0247ced9dcb444b46caafdcdd368,health beauty,beleza saude,3600.00,20.00,20.00,20.00,1,2497,60,8000.00,Medium,Heavy,0,0
adf591c625cb265c12bc6749d3a2f757,health beauty,beleza saude,150.00,20.00,24.00,33.00,6,1146,60,15840.00,Large,Light,0,0
3e0f398b664b26e3224c79dbf435191f,sports leisure,esporte lazer,400.00,16.00,4.00,11.00,4,900,57,704.00,Extra Small,Medium,0,0
64c8f1a52b407d92518a1f8b79240a70,telephony,telefonia,100.00,18.00,6.00,11.00,1,319,49,1188.00,Small,Light,0,0
af16005fca813272caf59c432153949e,furniture decor,moveis decoracao,800.00,53.00,8.00,20.00,2,1186,55,8480.00,Medium,Medium,0,0
e6a1ff3552ba3305c1cf0a4dde50347f,auto,automotivo,5250.00,47.00,19.00,23.00,6,703,58,20539.00,Large,Very Heavy,0,0
d8a405c732027a2af3187b031890933d,auto,automotivo,200.00,35.00,4.00,26.00,1,361,50,3640.00,Small,Medium,0,0
ce94e3c41145e28428cdae952a1fd7f2,watches gifts,relogios presentes,335.00,17.00,11.00,12.00,2,899,58,2244.00,Small,Medium,0,0
3f0f8de616df6efb39a48f3c64eea974,bed bath table,cama mesa banho,1300.00,50.00,12.00,12.00,1,701,49,7200.00,Medium,Heavy,0,0
6ddc95e87149457c4c5177b0a474a9ba,furniture decor,moveis decoracao,150.00,35.00,2.00,25.00,3,1405,47,1750.00,Small,Light,0,0
a2e2851eae0aebb8ee4df32348b42e2b,computers accessories,informatica acessorios,367.00,16.00,4.00,11.00,3,504,59,704.00,Extra Small,Medium,0,0
723f62c36c298037716bf60c0ad0df3a,watches gifts,relogios presentes,250.00,16.00,2.00,11.00,4,276,57,352.00,Extra Small,Medium,0,0
b2b3503e675abbc07e278151da072ed2,furniture decor,moveis decoracao,8500.00,75.00,25.00,55.00,1,287,46,103125.00,Extra Large,Very Heavy,0,0
c18c01e09509a509e2b88d3ed40c580e,baby,bebes,2150.00,42.00,25.00,15.00,1,1039,46,15750.00,Large,Heavy,0,0
a41e356c76fab66334f36de622ecbd3a,uncategorised,uncategorised,650.00,17.00,14.00,12.00,0,0,0,2856.00,Small,Medium,1,1
e7cad5e8ed9b92e788262ad710c33bd0,sports leisure,esporte lazer,150.00,16.00,5.00,11.00,4,663,56,880.00,Extra Small,Light,0,0
c33d78b97260227119fb2b71be168fca,bed bath table,cama mesa banho,650.00,27.00,10.00,22.00,1,170,39,5940.00,Medium,Medium,0,0
e8fd6f481db77b847e7ab93fa1510e7e,small appliances,eletroportateis,2700.00,20.00,26.00,32.00,4,794,53,16640.00,Large,Heavy,0,0
67bea89008edcb996cfe4e3d062b62a8,housewares,utilidades domesticas,1200.00,23.00,22.00,16.00,1,414,56,8096.00,Medium,Heavy,0,0
e8e86cbab028363545a5bf0ca5e226ee,furniture living room,moveis sala,6050.00,55.00,10.00,46.00,2,312,36,25300.00,Large,Very Heavy,0,0
c12b64bf0861a27e0f06c36ef82f457d,sports leisure,esporte lazer,150.00,16.00,6.00,11.00,1,425,53,1056.00,Small,Light,0,0
6f0169f259bb0ff432bfff7d829b9946,home construction,casa construcao,1050.00,16.00,20.00,16.00,6,918,58,5120.00,Medium,Heavy,0,0
b6f3b8136ba8302906df7e11ff908751,pet shop,pet shop,1350.00,23.00,7.00,30.00,1,617,36,4830.00,Small,Heavy,0,0
2be2be0a6a5916840503fdf50808ebcb,housewares,utilidades domesticas,600.00,36.00,6.00,19.00,1,270,41,4104.00,Small,Medium,0,0
8efa775719397f78f79c8e5c7b0afbd4,furniture decor,moveis decoracao,1000.00,30.00,18.00,18.00,1,275,22,9720.00,Medium,Heavy,0,0
9e87e3ee09baee5f5c0513ff37bc60ab,bed bath table,cama mesa banho,1550.00,43.00,8.00,33.00,2,381,58,11352.00,Medium,Heavy,0,0
a0abcee0132a5aed003d98e459b37698,bed bath table,cama mesa banho,2700.00,45.00,13.00,35.00,1,223,58,20475.00,Large,Heavy,0,0
7f6308ba4057a6a740af7b4dcfb79c13,telephony,telefonia,200.00,19.00,5.00,11.00,9,1930,63,1045.00,Small,Medium,0,0
1eb4a9aee05c9cad041e09add2a26d68,luggage accessories,malas acessorios,800.00,38.00,8.00,28.00,1,244,51,8512.00,Medium,Medium,0,0
8da90b37f0fb171b4877c124f965b1f6,perfumery,perfumaria,377.00,18.00,13.00,15.00,3,733,56,3510.00,Small,Medium,0,0
712a72a78ffb66cb6eee87eebbf54519,sports leisure,esporte lazer,400.00,45.00,22.00,43.00,3,1049,52,42570.00,Large,Medium,0,0
c5fb7fbe39f4e09e048ffbc5b28db49a,signaling and security,sinalizacao e seguranca,450.00,16.00,5.00,16.00,1,1212,51,1280.00,Small,Medium,0,0
f17b05cc8a7651896df8c30884200e9a,air conditioning,climatizacao,2000.00,32.00,51.00,16.00,1,547,30,26112.00,Large,Heavy,0,0
55ec10b39713ee81ee2c5bcb558cf866,fashion bags accessories,fashion bolsas e acessorios,300.00,16.00,2.00,11.00,1,1398,53,352.00,Extra Small,Medium,0,0
c190c4fe582c5b7ffff586506de83f01,furniture decor,moveis decoracao,250.00,26.00,14.00,14.00,1,160,34,5096.00,Medium,Medium,0,0
f908df99196805b5bc4ada9ef510b11b,sports leisure,esporte lazer,1950.00,60.00,15.00,15.00,2,245,57,13500.00,Medium,Heavy,0,0
ac5bae85a895724330c4acddd581b02b,telephony,telefonia,500.00,16.00,15.00,11.00,2,1254,50,2640.00,Small,Medium,0,0
d8dee61c2034d6d075997acef1870e9b,uncategorised,uncategorised,300.00,16.00,7.00,20.00,0,0,0,2240.00,Small,Medium,1,1
cbaff83e2c00a2b731d27276bbf52082,art,artes,7900.00,70.00,15.00,70.00,6,1431,59,73500.00,Extra Large,Very Heavy,0,0
ad67f74682943e3857eebf3ca2538d1a,bed bath table,cama mesa banho,1800.00,41.00,9.00,34.00,2,261,53,12546.00,Medium,Heavy,0,0
1e12f1836c1f08b25ef78fcdf76fbf08,garden tools,ferramentas jardim,900.00,37.00,3.00,23.00,1,884,60,2553.00,Small,Medium,0,0
acd427ee119d5c71c7a85ae488cb0a6a,fashion bags accessories,fashion bolsas e acessorios,200.00,16.00,2.00,11.00,7,68,52,352.00,Extra Small,Medium,0,0
60cf4effb6947283fa638d570bd07318,baby,bebes,4500.00,80.00,70.00,28.00,4,410,30,156800.00,Extra Large,Heavy,0,0
51fed4afb1b41d00ad9d25a73b7fbbc7,consoles games,consoles games,250.00,21.00,7.00,15.00,3,303,48,2205.00,Small,Medium,0,0
bb09cce52b336261572a5a7e25a33795,housewares,utilidades domesticas,550.00,16.00,25.00,12.00,1,943,59,4800.00,Small,Medium,0,0
65a6462e42e05ab3b8dc613566736825,luggage accessories,malas acessorios,1100.00,39.00,12.00,28.00,4,540,49,13104.00,Medium,Heavy,0,0
f2396540fbfac27b5117f0dbd6744b50,bed bath table,cama mesa banho,3600.00,40.00,20.00,40.00,1,222,53,32000.00,Large,Heavy,0,0
70d1bd3a042448105a71d0b41ecbc96b,consoles games,consoles games,100.00,16.00,3.00,11.00,1,235,56,528.00,Extra Small,Light,0,0
0075c14603d80515e20908c156ceb47b,sports leisure,esporte lazer,150.00,16.00,18.00,16.00,2,329,50,4608.00,Small,Light,0,0
5a42f73d92034010a4e00360fb0df099,sports leisure,esporte lazer,3775.00,18.00,13.00,16.00,1,144,55,3744.00,Small,Heavy,0,0
bcd58b852a3b0152b6b384c4e4474ba2,cool stuff,cool stuff,1400.00,25.00,20.00,20.00,2,797,59,10000.00,Medium,Heavy,0,0
2bfb0bdbcea77da2879f0ef3be9a219e,consoles games,consoles games,900.00,22.00,7.00,18.00,5,439,53,2772.00,Small,Medium,0,0
87fb220044e9aca16fbec51c6c997aa0,watches gifts,relogios presentes,250.00,20.00,12.00,20.00,2,438,60,4800.00,Small,Medium,0,0
484bf1dff778a416389aafd0dee1cb11,toys,brinquedos,350.00,21.00,9.00,16.00,1,852,55,3024.00,Small,Medium,0,0
56139431d72cd51f19eb9f7dae4d1617,uncategorised,uncategorised,200.00,20.00,20.00,20.00,0,0,0,8000.00,Medium,Medium,1,1
3cef8174403f4fdedbf24fa67fa9f132,baby,bebes,1800.00,18.00,32.00,27.00,3,805,39,15552.00,Large,Heavy,0,0
003938452c98ff9ab28e9e7b4bfe97ab,furniture living room,moveis sala,5050.00,50.00,8.00,50.00,2,420,52,20000.00,Large,Very Heavy,0,0
8d6cb00151d423c52855385c89f0bae8,auto,automotivo,27100.00,50.00,50.00,50.00,1,386,58,125000.00,Extra Large,Very Heavy,0,0
5877301b00f95e3c6118738b293dfab3,home appliances,eletrodomesticos,1500.00,65.00,8.00,38.00,1,273,50,19760.00,Large,Heavy,0,0
e0bbe6292471ff5ab3752414baf78111,watches gifts,relogios presentes,500.00,16.00,11.00,11.00,2,572,43,1936.00,Small,Medium,0,0
dd768d259ee6054e0dadd66c8e2be0b6,bed bath table,cama mesa banho,350.00,16.00,10.00,16.00,2,700,52,2560.00,Small,Medium,0,0
fc2edee55f4118969f4dc49f7a717605,auto,automotivo,500.00,16.00,12.00,17.00,3,1548,47,3264.00,Small,Medium,0,0
b521fddf2c8a7e7d1791bfb3c1b2f278,sports leisure,esporte lazer,1000.00,20.00,20.00,20.00,1,448,55,8000.00,Medium,Heavy,0,0
46b48281eb6d663ced748f324108c733,uncategorised,uncategorised,18500.00,41.00,30.00,41.00,0,0,0,50430.00,Extra Large,Very Heavy,1,1
db7e6804f1a8206a7e51c9a741a09d9e,toys,brinquedos,300.00,24.00,11.00,24.00,2,410,51,6336.00,Medium,Medium,0,0
50556c630443502c11acde1c320fe278,health beauty,beleza saude,250.00,16.00,2.00,20.00,1,257,59,640.00,Extra Small,Medium,0,0
88d2c501ec765f5d7e8038fa6aab0e62,health beauty,beleza saude,10700.00,40.00,40.00,40.00,1,863,51,64000.00,Extra Large,Very Heavy,0,0
722fb67c17907e21734449c091420bf5,housewares,utilidades domesticas,1700.00,32.00,21.00,22.00,1,290,29,14784.00,Medium,Heavy,0,0
43b6d9e46e1e6b8ac743a1c31e462937,garden tools,ferramentas jardim,7700.00,39.00,28.00,25.00,1,680,31,27300.00,Large,Very Heavy,0,0
1ffe365aa7583189e63f2fa4f060b269,sports leisure,esporte lazer,5200.00,20.00,60.00,35.00,4,785,57,42000.00,Large,Very Heavy,0,0
3014e35fd70fce29095ced5cdc89f4ce,telephony,telefonia,125.00,17.00,10.00,14.00,1,244,51,2380.00,Small,Light,0,0
e869d449cc32881790ef9af9b4c670f8,office furniture,moveis escritorio,15700.00,58.00,28.00,58.00,1,2220,50,94192.00,Extra Large,Very Heavy,0,0
a1b3a75aaaee5c9a683f2266c088f720,watches gifts,relogios presentes,350.00,16.00,11.00,11.00,2,599,53,1936.00,Small,Medium,0,0
7fdbc1ecf5fdf5c98d9b14e110133eb3,sports leisure,esporte lazer,213.00,16.00,10.00,13.00,1,649,57,2080.00,Small,Medium,0,0
15b3d40f375c0645c1eed4ed1cd8e17a,fashion bags accessories,fashion bolsas e acessorios,150.00,16.00,11.00,11.00,3,401,30,1936.00,Small,Light,0,0
1cf39a397efa955b102a52ee7ec5531c,auto,automotivo,18200.00,56.00,15.00,15.00,3,907,35,12600.00,Medium,Very Heavy,0,0
f9471562478eba8761bc985b968a0092,housewares,utilidades domesticas,850.00,18.00,21.00,15.00,1,390,38,5670.00,Medium,Medium,0,0
e96bac5656eaec25f3d76757fa16d9d3,home construction,casa construcao,1050.00,16.00,20.00,16.00,6,918,55,5120.00,Medium,Heavy,0,0
16b06ede456b922e56fbb4b3818aa875,fashion bags accessories,fashion bolsas e acessorios,200.00,16.00,9.00,11.00,5,382,48,1584.00,Small,Medium,0,0
c7147724cd430269c6296fc758c0a086,housewares,utilidades domesticas,300.00,16.00,15.00,11.00,1,42,32,2640.00,Small,Medium,0,0
dbb399a8be7395d5b136d49fcdce13df,computers accessories,informatica acessorios,200.00,23.00,9.00,13.00,1,764,47,2691.00,Small,Medium,0,0
ed46d1fbd7bf78ce79910c09fb892abb,sports leisure,esporte lazer,800.00,20.00,25.00,25.00,1,406,52,12500.00,Medium,Medium,0,0
d458378a178cd7cae60052319cebf235,stationery,papelaria,200.00,24.00,7.00,14.00,2,198,50,2352.00,Small,Medium,0,0
596363933adf57df745ecbc8afeec226,sports leisure,esporte lazer,698.00,46.00,10.00,14.00,1,853,50,6440.00,Medium,Medium,0,0
4473f3e5c65952b074ef987fa5c24662,telephony,telefonia,350.00,17.00,4.00,12.00,6,776,59,816.00,Extra Small,Medium,0,0
8c9faf6aabee9b2a30b83f92d786f6de,books general interest,livros interesse geral,1000.00,24.00,5.00,17.00,3,2913,50,2040.00,Small,Heavy,0,0
8e71b24c3e25a92fef6176120a67fac7,computers accessories,informatica acessorios,783.00,21.00,13.00,28.00,1,585,53,7644.00,Medium,Medium,0,0
828fe032935d7c1901682e5b6cc076c2,perfumery,perfumaria,600.00,20.00,20.00,20.00,2,1063,48,8000.00,Medium,Medium,0,0
19502a282608c5627fb32e22724727fc,toys,brinquedos,11650.00,55.00,30.00,30.00,1,181,47,49500.00,Large,Very Heavy,0,0
df473738565b52f77b4e22b328b41576,costruction tools tools,construcao ferramentas ferramentas,400.00,16.00,2.00,11.00,1,369,42,352.00,Extra Small,Medium,0,0
657491063e8a63247a108a4d9cedf020,toys,brinquedos,3050.00,40.00,10.00,40.00,1,274,25,16000.00,Large,Heavy,0,0
a388f2043ca885de714453e4fac616e2,telephony,telefonia,100.00,16.00,3.00,11.00,1,744,50,528.00,Extra Small,Light,0,0
4c6018f41a6c2e5543cc034e94f5ce5b,garden tools,ferramentas jardim,16500.00,40.00,25.00,26.00,1,2395,44,26000.00,Large,Very Heavy,0,0
a85543a371d5cfafedb80a8177a692b5,housewares,utilidades domesticas,750.00,34.00,14.00,24.00,2,470,59,11424.00,Medium,Medium,0,0
